GENERO ,MARCA,CATEGORIA,CODIGO NUMERICO,NOMBRE,COLOR,TALLES,,,,,,,,,,,,,TOTAL,WEB,FOTO,$COSTO,$PUBLICO,$PAGINA ,%INFLACION 
,,,,,,34,35,36,37,38,39,40,41,42,43,44,45,46,,,,,,,
MUJER,CAVATINI,VARIAS,50-1463,SENRA,AVELLANA,,,,,2,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,VARIAS,58-1601,CASILY,ARENA,,,,1,1,1,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1526,CEDAR,CHOCOLATE,,,,1,2,1,1,,,,,,,5,SI,SI,,,,
MUJER,CAVATINI,VARIAS,39-1314 45 001,BRENDI,FLOR COMB NEGRO,,,,,,1,1,,,,,0,,2,SI,SI,,,,
MUJER,CAVATINI,VARIAS,39-264 45 066,HUMA,FLOR COMB PERLA,,,1,1,1,1,1,,,,,,,5,SI,SI,,,,
HOMBRE ,CAVATINI,ZAPATO CUERO,70-3550,FLOR,NEGRO,,,,,,,,,,,1,,,1,SI,SI,,,,
HOMBRE ,CAVATINI,ZAPATO CUERO,70-3551,FLOR,NEGRO,,,,,,,,,,1,,,,1,SI,SI,,,,
HOMBRE ,CAVATINI,ZAPATILLA CUERO,70-5002,FLOR CMB,ROJO,,,,,,,1,,,,,,,1,SI,SI,,,,
HOMBRE ,CAVATINI,ZAPATO CUERO,70-3811,FLOR ,CHOCOLATE,,,,,,,,,,,1,,,1,SI,SI,,,,
HOMBRE ,CAVATINI,MOCASIN,70-3980,FLOR ,ANTILOPE,,,,,,,,,,,,,,0,SI,SI,,,,
HOMBRE ,FEBO,MOCASION,801,SUPERCONFORT,NEGRO,,,,,,,,1,,,2,1,,4,SI,SI,,,,
HOMBRE ,FEBO,MOCACION ACORDONADO,314,VESTIR,NEGRO,,,,,,,,,,1,1,,,2,SI,SI,,,,
HOMBRE ,FEBO,ZAPATILLA CUERO,111,-,MARRON,,,,,,,1,,,,1,,,2,SI,SI,,,,
HOMBRE ,FEBO,MOCASIN,321,-,NEGRO,,,,,,,,,,1,,1,,2,SI,SI,,,,
HOMBRE ,FEBO,MOCASIN,323,-,NEGRO,,,,,,,,,,,1,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1333,HADRIA,LATTE,,,,,1,,,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1333,HADRIA,PERLA,,,,,2,1,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-1443,FLOR CMB,PERLA,,,1,,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1314,BRENDI,VISON,,,,,1,,,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-2612,FELY,PELTRE,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-2612,FELY,LATTE,,,,,2,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1323,HALLI,PERLA,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1323,HALLI,HIELO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-2404,NARI,NUDE,,,,,2,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1334,HONNY,ACERO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1322,HELMI,ANTILOPE,,,,1,1,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-1347,COMBINADO,NUDE,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1323,HALLIE,ANTILOPE,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-2502,UME,TIZA,,,,,,,,,,,,,,0,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-2502,UME,NEGRO,,,,1,0,2,,1,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-2507,NANIS,PELTRE,,,,1,1,2,,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1222,NORAH,TIZA,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-1855,FANCY,OROCLARO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-1941,SIN NOMBRE,HIELO,,,1,,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-0820,SIN NOMBRE,ANTILOPE,,,,,,1,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1314,BRENDI,NEGRO,,,1,,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-1379,SIN NOMBRE,GRAFITO,,,,1,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,39-1322,HELLMI,NEGRO,,,,1,2,,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA,40-1443,SIN NOMBRE,NEGRO,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA MOCASIN ,39-1320,HEDEN,VISON,,,1,,1,,,1,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA MOCASIN ,40-1256,SIN NOMBRE,VISON,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA MOCASIN ,39-1320,HEDEN,GRIS,,,,1,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA MOCASIN ,39-1320,HEDEN,CAPUCCINO,,,1,1,1,1,,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,ZAP CAM AIRE TEXTIL,39-2587,BLINK,NATURAL,,,1,,1,0,1,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,ZAP CAM AIRE TEXTIL,39-2587,BLINK,NEGRO,,,1,2,2,2,,,,,,,,7,SI,SI,,,,
